iter	Logloss
0	0.6890263796
1	0.6841049373
2	0.6804079418
3	0.6769517121
4	0.6737443239
5	0.6704643249
6	0.6674405602
7	0.6634152321
8	0.6609144199
9	0.6572994009
10	0.6535965717
11	0.6494239789
12	0.6453600863
13	0.6424004352
14	0.6394247146
15	0.6375334142
16	0.6349328499
17	0.6332869793
18	0.6299944467
19	0.6270282687
20	0.624730295
21	0.6214582451
22	0.6193522107
23	0.6164256247
24	0.6139926879
25	0.6110847445
26	0.6090009338
27	0.6072673829
28	0.6051521359
29	0.6029622435
30	0.6007481115
31	0.5981111566
32	0.5962522118
33	0.5942463841
34	0.5920057962
35	0.5892383829
36	0.5872708817
37	0.5856204822
38	0.583469462
39	0.5820808602
40	0.5798269044
41	0.578182713
42	0.5762570514
43	0.574534316
44	0.5733391301
45	0.5716823392
46	0.5700775382
47	0.5699486923
48	0.5685166315
49	0.5675221705
50	0.5660860996
51	0.5648681342
52	0.5627070209
53	0.561052659
54	0.5592794715
55	0.5574522172
56	0.5561671432
57	0.5544385859
58	0.55294361
59	0.5514814964
60	0.5503996993
61	0.5487459135
62	0.5471184138
63	0.5454241945
64	0.5441411009
65	0.5427501052
66	0.5415330443
67	0.5402554149
68	0.5392040152
69	0.5376422667
70	0.53595176
71	0.5347502708
72	0.5333375655
73	0.5314311741
74	0.530475638
75	0.5292177818
76	0.5285721945
77	0.5276378095
78	0.5260912551
79	0.5247258654
80	0.5241348126
81	0.5229406718
82	0.5218586358
83	0.5207704404
84	0.5194740061
85	0.518287526
86	0.5166537216
87	0.5155608998
88	0.5143735961
89	0.5129055754
90	0.5119282217
91	0.5110812853
92	0.5093730916
93	0.5082602804
94	0.5070562376
95	0.5053057815
96	0.5046726754
97	0.5037760771
98	0.5028001271
99	0.5020470777
100	0.5009763566
101	0.5003544101
102	0.4987154964
103	0.4979217419
104	0.4966232892
105	0.4947395743
106	0.4934900402
107	0.4923592635
108	0.4916798077
109	0.4908961131
110	0.4898348873
111	0.4890354962
112	0.487755825
113	0.4866371231
114	0.4860999115
115	0.4849911931
116	0.4841586179
117	0.4835926514
118	0.4827482533
119	0.4821007459
120	0.4815389341
121	0.4805988493
122	0.4792165751
123	0.4782906826
124	0.477463204
125	0.4767314532
126	0.4752579844
127	0.4741506961
128	0.4736253257
129	0.4729458877
130	0.4718450003
131	0.4709667482
132	0.4700709226
133	0.4686247032
134	0.468298319
135	0.467353393
136	0.4662962156
137	0.4655927197
138	0.4645787297
139	0.4637836718
140	0.4629873675
141	0.4623069035
142	0.4614119961
143	0.4603376678
144	0.4595936512
145	0.4588050339
146	0.458160389
147	0.4573998227
148	0.4573842664
149	0.4563346302
150	0.4557976909
151	0.4552209014
152	0.4546999902
153	0.4540742986
154	0.4535271961
155	0.4528695082
156	0.4525603294
157	0.451948328
158	0.4505248991
159	0.4496077481
160	0.4486961857
161	0.4477762865
162	0.4468641881
163	0.44586363
164	0.4449899568
165	0.4440091569
166	0.4437468379
167	0.4429208652
168	0.4420752219
169	0.4412612879
170	0.4407076724
171	0.4397520666
172	0.4397345999
173	0.4392274159
174	0.4382139018
175	0.4373419881
176	0.4364405967
177	0.4355871196
178	0.4348810039
179	0.4341456784
180	0.4335344596
181	0.4328106398
182	0.4319928043
183	0.4311955641
184	0.4307198181
185	0.4298989985
186	0.4296589347
187	0.4291604086
188	0.4286062525
189	0.4281088426
190	0.4275500332
191	0.4268227868
192	0.4261318208
193	0.4261242671
194	0.4256147368
195	0.4250461355
196	0.4244572955
197	0.4241261574
198	0.4235221152
199	0.4227591122
200	0.4217488462
201	0.4209789672
202	0.4205751127
203	0.4199573563
204	0.4195071036
205	0.419057286
206	0.4185567845
207	0.4185269175
208	0.417894728
209	0.4173433131
210	0.4167758825
211	0.4161724163
212	0.4158261189
213	0.4152139973
214	0.4145410498
215	0.4139179971
216	0.4132050564
217	0.4127399227
218	0.4121005684
219	0.4115757299
220	0.410841869
221	0.4099439042
222	0.4091558741
223	0.4083189252
224	0.4077673307
225	0.4071659833
226	0.4066654199
227	0.4059706527
228	0.4048259797
229	0.4041340821
230	0.4035264834
231	0.4025697882
232	0.4023449314
233	0.4013633479
234	0.4005970755
235	0.3999719034
236	0.3999501288
237	0.3990839536
238	0.3984951068
239	0.3981189682
240	0.3976089463
241	0.3968953253
242	0.3960382903
243	0.3956146689
244	0.3951289589
245	0.3944599431
246	0.3938523124
247	0.3930847673
248	0.3927465052
249	0.3918331827
250	0.3915473438
251	0.3912150984
252	0.3905174293
253	0.3899854893
254	0.3893867002
255	0.3888668883
256	0.3881769606
257	0.387307386
258	0.3868968187
259	0.386429188
260	0.3857581162
261	0.3853875458
262	0.3850749283
263	0.3848545509
264	0.3843677841
265	0.3838695308
266	0.3835024494
267	0.3829197993
268	0.382521947
269	0.38202291
270	0.3815568964
271	0.3811517232
272	0.3807844973
273	0.3802312787
274	0.3796067764
275	0.3789764563
276	0.3782215199
277	0.3777031585
278	0.3773715108
279	0.3769663172
280	0.3762493348
281	0.3755676872
282	0.3749182734
283	0.3743164915
284	0.3737923783
285	0.3733136404
286	0.3729688774
287	0.3724303385
288	0.3718460216
289	0.3712106816
290	0.371041297
291	0.3703453088
292	0.3696917116
293	0.3693813205
294	0.3684607933
295	0.3679148981
296	0.3675482268
297	0.3670560736
298	0.3667449156
299	0.3660100445
300	0.3656059503
301	0.3650541883
302	0.3646900105
303	0.3639641126
304	0.3635233028
305	0.3630613564
306	0.3628499857
307	0.3625589167
308	0.3619542379
309	0.3614039695
310	0.3610398618
311	0.3606382989
312	0.3601623613
313	0.3595216012
314	0.3593513354
315	0.3586065003
316	0.3579622771
317	0.3573926732
318	0.3571524564
319	0.3565417116
320	0.3560678998
321	0.3555624577
322	0.3548665006
323	0.3545375419
324	0.3542185259
325	0.3538403476
326	0.353260969
327	0.3527418766
328	0.3524805435
329	0.3520937547
330	0.3518205822
331	0.3513760977
332	0.3509977723
333	0.3503942408
334	0.350077225
335	0.3496274854
336	0.3493557313
337	0.3488234573
338	0.348429638
339	0.347999107
340	0.3475641717
341	0.3470874734
342	0.3466201834
343	0.3461666177
344	0.3457480863
345	0.3451604621
346	0.3447525561
347	0.3441816439
348	0.3437254293
349	0.3432647086
350	0.3427762855
351	0.3424844532
352	0.3420817539
353	0.3417166416
354	0.341139586
355	0.3405023139
356	0.3401640698
357	0.3397140179
358	0.3392654539
359	0.3388492594
360	0.3383322674
361	0.3377812463
362	0.3370956461
363	0.3363709633
364	0.3361845138
365	0.335443336
366	0.3350179472
367	0.334704714
368	0.3343300124
369	0.3339680571
370	0.3335455487
371	0.3330502665
372	0.3324476716
373	0.3321700555
374	0.3318053863
375	0.3310936204
376	0.3307559399
377	0.3303014867
378	0.3299593307
379	0.3295542525
380	0.3292113938
381	0.3287121974
382	0.3284036561
383	0.327987564
384	0.3276189684
385	0.3272843566
386	0.3269929929
387	0.3262273221
388	0.3259259786
389	0.3255493439
390	0.3251797551
391	0.3246826116
392	0.3241347965
393	0.3236286279
394	0.3233365354
395	0.32271218
396	0.3222582667
397	0.3219374417
398	0.3216162841
399	0.3212184073
400	0.320490707
401	0.3201702109
402	0.3198805625
403	0.3195676756
404	0.3189266724
405	0.318608827
406	0.318161716
